,IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,COUNTRY,CONTINENT
0,104123223_7410c654ba_19_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,1,8,150,0.0029592899504438,0.7778147804293098,0.2192258299745759,AU,Oceania
1,1095548455_f636d22cbb_1277_8576809@N08.jpg,8576809@N08,31.893581,-85.141124,2,15,231,0.0039762538822856,0.0161277730523465,0.9798960119713342,US,North America
2,1185597181_0158ab4213_1311_43616936@N00.jpg,43616936@N00,42.346571,-71.097228,2,12,312,4.680233274316492e-06,4.357539228665164e-06,0.9999909642251608,US,North America
3,1199004207_0ce4e7a456_1285_16418049@N00.jpg,16418049@N00,37.090924,25.370521,2,15,227,0.0560021347187849,0.0075626038407463,0.9364352449553586,GR,Europe
4,1257001714_3453f5fc4b_1405_11490799@N08.jpg,11490799@N08,55.485759,28.791046,1,6,205,8.340898350311932e-05,0.9914413061872837,0.0084753281912259,BY,Europe
5,195179890_dfc29db44a_70_73935513@N00.jpg,73935513@N00,-25.499066,-54.621276,1,6,113,5.9797807677286485e-05,0.5437024599131419,0.4562377867877296,PY,South America
6,212568980_fb3a00288d_71_21844368@N00.jpg,21844368@N00,12.974449,77.562789,2,12,276,0.0044976632080317,0.0010776100771145,0.99442490792185,IN,Asia
7,222911552_50f2a18fde_66_56186870@N00.jpg,56186870@N00,60.773746,-148.812046,1,6,190,0.0018134412071439,0.9965174344743204,0.0016691925270571,US,North America
8,243683202_38f0178ce4_88_11807142@N00.jpg,11807142@N00,37.970117,23.720426,2,11,292,0.0001063150473718,0.49450002181237,0.5053936041720424,GR,Europe
9,247766999_1de867ab93_96_94409333@N00.jpg,94409333@N00,36.403107,-93.736736,2,12,351,0.0718502273960255,0.0059201231521042,0.922229624399714,US,North America
10,251058170_ba714bfb50_87_67484939@N00.jpg,67484939@N00,34.841334,-92.486429,1,7,233,0.0001490305270124,0.7253617425106995,0.2744891759183403,US,North America
11,254755691_b3bbae344e_95_79267922@N00.jpg,79267922@N00,39.94133,116.383666,2,15,286,0.0232035601605815,0.0011004594665067,0.975696026755088,CN,Asia
12,254762082_1a1b6d27d1_121_79267922@N00.jpg,79267922@N00,39.94133,116.383666,2,11,330,0.000602185273383,0.0001649622765347,0.9992328610453978,CN,Asia
13,257034510_2b7d64e610_118_26519935@N00.jpg,26519935@N00,13.74989,100.494861,2,11,252,0.0006673771799796,0.0004318544857397,0.9989007764413032,TH,Asia
14,257176697_a302df7bec_86_41336221@N00.jpg,41336221@N00,40.366689,49.835443,2,15,132,0.0021818905446764,0.0016982717032192,0.9961199984323345,AZ,Asia
15,263896481_2f807d19ee_80_74806935@N00.jpg,74806935@N00,37.318012,-121.950309,0,2,134,0.9257580899298716,0.0007793246771115,0.0734625662786108,US,North America
16,264192767_4809b75a21_117_35468147630@N01.jpg,35468147630@N01,42.36246,-71.084353,2,11,108,0.001469365309525,0.0003117746852172,0.9982187744700132,US,North America
17,314328828_2b52ae145e_120_55852171@N00.jpg,55852171@N00,39.996996,116.267988,2,11,251,6.231605857331957e-06,6.992480432588266e-05,0.9999237150973068,CN,Asia
18,315923188_366ee7e6cd_101_14491548@N00.jpg,14491548@N00,51.054991,3.732089,2,15,181,0.0010841305230897,0.0069035428958841,0.9920123287671458,BE,Europe
19,317019036_3b57b5b2e9_104_56249023@N00.jpg,56249023@N00,-47.031934,-67.259674,1,7,234,0.0055292877783834,0.9203702610980145,0.0741005531493215,AR,South America
20,317024157_467511cd94_107_56249023@N00.jpg,56249023@N00,-50.358604,-72.285575,1,6,204,0.0001472727744946,0.9960978520646576,0.0037547921727636,AR,South America
21,317369069_16c7477d63_134_78221228@N00.jpg,78221228@N00,-50.462312,-73.005523,1,6,187,7.625329943472536e-05,0.9995855403671712,0.000338267347252,AR,South America
22,336999316_7fda2b00b1_142_65367662@N00.jpg,65367662@N00,39.44017,-120.23025,1,8,141,0.001561153335448,0.99404621946411,0.0043926114135999,US,North America
23,338553788_a32e785773_163_21535758@N00.jpg,21535758@N00,34.987253,68.466796,1,11,292,0.0036732705860895,0.5095122345029495,0.4868144605037088,AF,Asia
24,338603422_520f0ce2ff_138_21535758@N00.jpg,21535758@N00,36.884014,68.57666,1,8,173,0.0001601545886558,0.5015057383244823,0.4983341454801504,AF,Asia
25,339483173_e48ee06639_139_63163416@N00.jpg,63163416@N00,31.213021,29.946069,2,15,270,0.0211340221004547,0.0092887162531951,0.969577257928904,EG,Africa
26,340942713_d485388d6d_152_21341800@N00.jpg,21341800@N00,36.765291,68.812866,1,7,116,0.003756984637782,0.9232677532273216,0.0729751933005715,AF,Asia
27,348532716_5a2b306c86_136_98767940@N00.jpg,98767940@N00,17.129307,-89.065818,0,0,222,0.772985024569401,0.0008643822946154,0.2261506636784913,BZ,North America
28,363322243_42e6b4babe_100_26234358@N00.jpg,26234358@N00,52.525047,13.366949,0,1,228,0.9987199332811372,6.694041096189096e-05,0.0012131567464184,DE,Europe
29,379263811_e4d22a1ba5_136_59615371@N00.jpg,59615371@N00,34.051166,-84.285993,2,10,175,0.0010447709564633,0.4138992672192092,0.5850558438050175,US,North America
30,391838246_31758bc752_139_94949650@N00.jpg,94949650@N00,49.341342,-123.01546,1,8,150,0.0004806963050008,0.9643065881026588,0.0352127053221096,CA,North America
31,392982444_442d787db5_143_65412829@N00.jpg,65412829@N00,39.935276,32.852725,2,15,4,0.0026461646271795,8.336560595623155e-05,0.9972704688461048,TR,Asia
32,421350511_ee899b609d_129_85417391@N00.jpg,85417391@N00,32.242796,-111.167714,1,7,117,1.857364419358132e-05,0.9847704970652398,0.0152108931354388,US,North America
33,425432303_c817c468e3_166_14882112@N00.jpg,14882112@N00,41.371961,2.166323,2,15,227,0.0057887238751455,0.0001946087512791,0.9940167186925386,ES,Europe
34,427188519_bcf177e48b_146_84752760@N00.jpg,84752760@N00,41.401149,2.163276,0,5,90,0.8244932289784757,0.0004773180209838,0.1750294524752575,ES,Europe
35,429777514_e0ba93984e_169_89418754@N00.jpg,89418754@N00,41.403491,2.174423,2,11,334,0.0037746534819476,0.0046044935575935,0.9916207602828102,ES,Europe
36,429881745_35a951f032_187_37718182@N00.jpg,37718182@N00,41.387627,2.188044,2,14,333,2.728032446943371e-07,0.4998725177216564,0.5001272707137813,ES,Europe
37,432236572_f2da926f89_166_75452460@N00.jpg,75452460@N00,47.298266,13.686389,1,7,233,0.0004259218619342,0.7973147524439241,0.2022593431192181,AT,Europe
38,436360592_ef20eb1e98_178_99746029@N00.jpg,99746029@N00,39.937908,116.398086,2,15,4,0.4216404189812124,0.0030997606569798,0.5752599033935581,CN,Asia
39,437613430_d1466ffcdb_178_71613077@N00.jpg,71613077@N00,39.988497,116.184368,1,8,150,0.0147080739805839,0.9065860160864504,0.0787058515719199,CN,Asia
40,453214262_2252fbefff_212_55126705@N00.jpg,55126705@N00,35.521425,-111.372699,1,7,116,0.0001251787355158,0.94288020561196,0.0569945993002845,US,North America
41,453384102_723b8a8182_207_55126705@N00.jpg,55126705@N00,34.611453,-111.841936,2,11,13,0.0321034629675462,0.1935502009449692,0.7743463278839045,US,North America
42,466882217_a9c6760cc4_220_64825499@N00.jpg,64825499@N00,12.607003,-70.055952,1,6,48,0.0001025304341499,0.9856672701369238,0.0142302025647227,NL,Europe
43,482314949_dbc149bb10_224_50435419@N00.jpg,50435419@N00,-34.609758,-58.411216,2,15,181,0.0023568314293491,0.0031424792779866,0.9945006616187868,AR,South America
44,502172768_3a7a22811b_213_69641014@N00.jpg,69641014@N00,42.34351,-71.033585,2,10,266,0.000370499844287,0.0579893033019089,0.9416401664326272,US,North America
45,504921450_6f20499550_194_24311489@N00.jpg,24311489@N00,33.747894,-84.371148,2,11,86,2.0711453295733885e-08,3.398364369083295e-07,0.999999659769709,US,North America
46,508033358_5d1f3bc07a_221_8393530@N05.jpg,8393530@N05,25.073471,-77.327785,0,5,9,0.9034823482215756,0.0965175995137641,4.3524932128255094e-08,BS,North America
47,510183020_3dec046e80_192_77392231@N00.jpg,77392231@N00,13.724085,100.392208,0,0,139,0.9994369574795484,2.1577676904277482e-07,0.0005628017849251,TH,Asia
48,522546192_0030ad0eb1_237_61819159@N00.jpg,61819159@N00,-14.666716,145.448513,1,7,306,0.0033708495469539,0.9912685495409336,0.005360608280128,AU,Oceania
49,530405817_0673660c96_1209_7885919@N07.jpg,7885919@N07,-34.603691,-58.381637,2,15,125,0.0236157380975328,0.0325070378061127,0.9438771965947126,AR,South America
50,534657711_dc2aa849a8_1333_72154266@N00.jpg,72154266@N00,-22.995414,-43.238539,2,15,308,0.2528617139909102,0.0021561044662661,0.7449822117939249,BR,South America
51,580496518_4214d97599_1280_7369430@N02.jpg,7369430@N02,30.245165,-87.733662,2,10,266,2.285158802817211e-05,0.0252201077323075,0.9747571079281142,US,North America
52,779600060_a5f8e28de5_1184_52057668@N00.jpg,52057668@N00,-34.940336,138.585577,2,14,153,0.0109726294539314,0.3902679193972744,0.5987594798106102,AU,Oceania
53,780091415_c803d82672_1332_88971695@N00.jpg,88971695@N00,-25.354342,131.046295,1,7,73,0.0023417528804956,0.9897163121998602,0.0079419362892094,AU,Oceania
54,864479182_d60c47e2ce_1045_25304693@N00.jpg,25304693@N00,50.997714,5.40199,2,14,220,0.0013237436615298,0.0234887664164205,0.9751874996287028,BE,Europe
55,872841181_2ef32acf29_1371_66281185@N00.jpg,66281185@N00,36.057694,-112.136614,1,6,234,0.0080636743484099,0.9119113327768104,0.0800249261184262,US,North America
56,952602201_87da454e31_1323_19953481@N00.jpg,19953481@N00,46.702202,12.991333,1,6,234,0.0003443312415924,0.8053390793891708,0.1943165563353197,AT,Europe
57,970273104_48060e4acd_1207_10815666@N04.jpg,10815666@N04,-34.602578,-58.383686,2,15,125,0.0003146876396766,0.0007041853163975,0.9989811088565864,AR,South America
58,97344248_30a4521091_32_77325609@N00.jpg,77325609@N00,41.395354,2.169113,2,15,32,0.0095358103029017,0.0004021755610743,0.9900619531417734,ES,Europe
59,980263629_f3373fa294_1253_9729483@N02.jpg,9729483@N02,52.504914,13.36284,0,2,363,1.0000000842644672,1.921512926921745e-09,1.0099560957224532e-08,DE,Europe
60,Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,9f05b2251e_1292_8504005@N07,39.936592,32.8553,2,15,332,0.2098746148114116,0.0057560310277438,0.784369413006516,TR,Asia
61,Antigua_00003_483035669_21c8bdeb2d_185_61417564@N00.jpg,21c8bdeb2d_185_61417564@N00,16.998628,-61.755861,1,6,194,0.0003308211908432,0.989825441792874,0.0098437717322603,AG,North America
62,Arizona_00044_527647931_821085049a_1048_7412395@N07.jpg,821085049a_1048_7412395@N07,36.065673,-112.11713,1,7,81,0.0003105800540272,0.9852983831900914,0.0143909911963984,US,North America
63,Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,a573655582_34_50517642@N00,12.532151,-70.051435,2,10,257,0.1140500197855871,0.0028217015328522,0.8831282048304132,NL,Europe
64,Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,2f7c0642b4_212_36764971@N00,37.971102,23.726767,2,15,348,1.5289300596244004e-05,0.000898284364859,0.99908644805392,GR,Europe
65,Azerbaijan_00003_1293945458_c58bd8d7c4_1048_97522422@N00.jpg,c58bd8d7c4_1048_97522422@N00,40.094882,49.387664,1,7,116,0.033745106509766,0.5166404859320153,0.4496144237515658,AZ,Asia
66,Bahamas_00006_343059190_9c31e29446_134_39595541@N00.jpg,9c31e29446_134_39595541@N00,25.114046,-77.126255,1,6,243,0.0005267667201849,0.987064648814794,0.0124085638073054,BS,North America
67,Bangkok_00011_215914338_705d7ea038_92_20194767@N00.jpg,705d7ea038_92_20194767@N00,9.376241,99.94091,1,6,204,0.0004127580077053,0.9896109204449886,0.0099764244139173,TH,Asia
68,Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,4e3ca563fc_83_82927779@N00,13.740614,100.489861,2,10,79,0.0013340909663952,0.0598113566635447,0.938854581946174,TH,Asia
69,Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,7517982a97_46_49503208420@N01,41.385245,2.169284,2,15,178,0.0012583185914305,0.0020397182990361,0.9967018892732148,ES,Europe
70,Belgium_00017_276044730_dceb8cccbc_112_12814307@N00.jpg,dceb8cccbc_112_12814307@N00,50.657949,5.474624,2,10,278,0.0383841187494908,0.0003404513693145,0.9612753228762404,BE,Europe
71,Bolivia_00014_1347017613_651a38b69d_1376_11786349@N08.jpg,651a38b69d_1376_11786349@N08,-20.457333,-66.913604,1,7,116,0.0153507117824247,0.7412395764846593,0.2434096939406203,BO,South America
72,Bosnia_00004_1138531814_e3579a53d8_1067_11515930@N06.jpg,e3579a53d8_1067_11515930@N06,43.065376,17.71202,2,15,296,0.0007148179207376,0.0139134283542148,0.9853716989871372,BA,Europe
73,Botswana_00001_108331635_4dccd99e9d_52_73091266@N00.jpg,4dccd99e9d_52_73091266@N00,-19.116137,23.827285,1,6,356,1.0246443998303614e-05,0.9959908085914556,0.0039988952044995,BW,Africa
74,California_00119_356125022_0a5c48aa89_139_64855637@N00.jpg,0a5c48aa89_139_64855637@N00,36.618184,-121.901893,2,14,49,0.0015498462562391,0.315008179458232,0.6834419704445054,US,North America
75,California_00122_361328855_6ace238cbf_134_41894169878@N01.jpg,6ace238cbf_134_41894169878@N01,33.441321,-118.492891,2,12,265,0.0063662166991775,0.268477645817029,0.7251560941181197,US,North America
76,California_00147_439592027_f8ffa59be8_188_66347119@N00.jpg,f8ffa59be8_188_66347119@N00,33.89441,-115.829662,2,10,118,2.772053889599224e-06,0.0296366188036626,0.9703606200693764,US,North America
77,California_00197_718693402_4ba930995d_1150_7980350@N08.jpg,4ba930995d_1150_7980350@N08,37.752614,-119.526979,1,7,234,0.0001505017622722,0.9074145745334192,0.092434839046863,US,North America
78,Cambodia_00020_401343054_b6c0b85d50_133_33463080@N00.jpg,b6c0b85d50_133_33463080@N00,13.372585,103.856849,2,11,13,0.1309427533741303,0.0109943165507786,0.8580630140864969,KH,Asia
79,Canada_00106_513453328_03108e034b_227_7665941@N08.jpg,03108e034b_227_7665941@N08,49.291349,-123.127512,2,10,171,0.0002191630380394,0.045366821575655,0.9544139440741156,CA,North America
80,Canada_00113_568886932_37f47747b8_1250_48264126@N00.jpg,37f47747b8_1250_48264126@N00,52.202557,-117.239742,1,6,234,1.4512096312646603e-05,0.9788197193306778,0.021165687409969,CA,North America
81,Chicago_00046_286428804_4fd17dde48_106_51306116@N00.jpg,4fd17dde48_106_51306116@N00,41.885921,-87.622833,2,15,125,0.0005800748043292,0.0124426666659616,0.9869772631236912,US,North America
82,Chicago_00080_496345089_f5d47dea91_196_69212252@N00.jpg,f5d47dea91_196_69212252@N00,41.939545,-87.639586,0,5,212,0.9730743932276056,0.0006168363567695,0.0263086705922432,US,North America
83,China_00073_487137127_79fefd5305_196_8159033@N04.jpg,79fefd5305_196_8159033@N04,34.272254,108.896656,2,11,330,0.0005728290637208,0.0007863772336378,0.9986407952959162,CN,Asia
84,China_00092_1004463976_03bb680078_1105_91728102@N00.jpg,03bb680078_1105_91728102@N00,28.362854,121.068735,2,11,334,0.0016698637305299,0.0360421597570166,0.9622881532346153,CN,Asia
85,Colombia_00009_487789777_0003ed5872_212_16836474@N00.jpg,0003ed5872_212_16836474@N00,-4.219137,-69.938964,1,6,271,0.0007021310744477,0.8249938303010822,0.1743040899286541,CO,South America
86,Colorado_00057_1199140107_b35790beec_1001_59341685@N00.jpg,b35790beec_1001_59341685@N00,39.450311,-106.470608,1,6,234,0.0005259477622701,0.9780408300705404,0.0214331342741616,US,North America
87,Connecticut_00004_364162616_48c230f9e2_116_15376845@N00.jpg,48c230f9e2_116_15376845@N00,41.387237,-72.984205,2,14,299,0.0021673462558409,0.1763074752698941,0.8215251473005365,US,North America
88,CostaRica_00017_500118634_993d0110b5_199_78225438@N00.jpg,993d0110b5_199_78225438@N00,9.976965,-84.842176,1,6,194,0.0004033983438205,0.9352962995488384,0.0643002856487271,CR,North America
89,Croatia_00021_473963193_d9ce489f23_222_18744817@N00.jpg,d9ce489f23_222_18744817@N00,44.881174,15.616722,1,6,342,0.0118959317626598,0.9810811464767512,0.0070229932545426,HR,Europe
90,Croatia_00029_965780821_723a75feee_1096_78247883@N00.jpg,723a75feee_1096_78247883@N00,42.640107,18.110811,2,15,123,0.1914554035447508,0.0125489684672004,0.7959956799910017,HR,Europe
91,Cuba_00025_699768122_15733c7a1a_1425_8078991@N04.jpg,15733c7a1a_1425_8078991@N04,23.121653,-81.347064,1,6,48,5.697860714359848e-05,0.9971548366928698,0.0027880509270605,CU,North America
92,Cyprus_00009_504391595_088287d4f6_189_8255645@N03.jpg,088287d4f6_189_8255645@N03,34.937874,32.86663,2,10,152,8.518308472420244e-06,0.4941270753726912,0.5058644038649283,CY,Asia
93,Denmark_00009_258337247_96db5706ff_95_70402049@N00.jpg,96db5706ff_95_70402049@N00,55.684655,12.589323,2,13,292,0.0142421504676235,0.166414670490667,0.8193432048456089,DK,Europe
94,Dominica_00002_479941913_0bf2cf5743_169_7687052@N07.jpg,0bf2cf5743_169_7687052@N07,15.574013,-61.455373,1,8,173,0.0001803115021621,0.6946125652936388,0.3052071962749334,DM,North America
95,DominicanRepublic_00008_528391253_78e9959702_1170_37476307@N00.jpg,78e9959702_1170_37476307@N00,18.365027,-69.020611,2,8,36,0.023283209642301,0.4624505788905821,0.5142662155487621,DO,North America
